sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
Male,25 - 45,African-American,None,None,None,1 to 5,F,Att Tamper w/Physical Evidence,1
Male,Greater than 45,Caucasian,None,None,None,None,F,arrest case no charge,0
Male,Greater than 45,Other,None,None,None,5+ to 15,F,Agg Fleeing and Eluding,1
Male,25 - 45,Caucasian,None,None,1 to 2,5+ to 15,M,Operating W/O Valid License,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,Less than 25,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,1 to 4,1 to 2,1 to 2,15+ to 25,F,Poss Wep Conv Felon,1
Male,25 - 45,Caucasian,None,None,None,None,M,Possess Cannabis/20 Grams Or Less,0
Female,Less than 25,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,African-American,None,None,None,1 to 5,M,Unlaw Use False Name/Identity,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Viol Injunct Domestic Violence,1
Female,Greater than 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,0
Male,25 - 45,African-American,None,None,None,None,F,Defrauding Innkeeper $300/More,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,M,Battery,1
Male,25 - 45,African-American,1 to 4,None,2+,5+ to 15,F,Uttering a Forged Instrument,1
Male,Greater than 45,Caucasian,None,None,None,None,M,DUI Level 0.15 Or Minor In Veh,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Driving License Suspended,1
Male,25 - 45,African-American,None,None,None,None,F,Tampering With Physical Evidence,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Oxycodone,1
Female,25 - 45,Other,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,Caucasian,None,None,None,15+ to 25,F,arrest case no charge,1
Female,Greater than 45,Hispanic,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,1 to 2,15+ to 25,F,Attempt Armed Burglary Dwell,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Poss Tetrahydrocannabinols,1
Male,25 - 45,Hispanic,None,None,None,None,M,Possess Cannabis/20 Grams Or Less,0
Male,Greater than 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Driving While License Revoked,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,M,Possess Drug Paraphernalia,1
Male,25 - 45,African-American,1 to 4,1 to 2,1 to 2,15+ to 25,F,Driving While License Revoked,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,F,Poss Firearm W/Altered ID#,1
Male,Less than 25,African-American,None,1 to 2,1 to 2,1 to 5,F,Sell Conterfeit Cont Substance,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,Greater than 45,Hispanic,None,None,None,None,M,Unlaw LicTag/Sticker Attach,0
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Aggravated Battery / Pregnant,1
Male,25 - 45,Other,None,None,None,None,M,Battery,0
Female,Greater than 45,African-American,None,None,None,None,M,Battery,0
Male,Greater than 45,Hispanic,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,Less than 25,Hispanic,None,None,None,1 to 5,F,Burglary Structure Unoccup,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,False Name By Person Arrest,1
Male,25 - 45,Caucasian,None,None,1 to 2,1 to 5,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Battery,1
Male,Less than 25,Caucasian,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,Poss Cocaine/Intent To Del/Sel,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Burglary Dwelling Assault/Batt,1
Male,25 - 45,African-American,None,None,None,None,F,Felony Battery (Dom Strang),0
Male,25 - 45,African-American,None,None,None,1 to 5,M,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,Other,None,None,None,None,F,arrest case no charge,1
Male,25 - 45,African-American,1 to 4,2+,1 to 2,5+ to 15,F,arrest case no charge,1
Male,Less than 25,Other,None,None,None,None,F,Tampering With Physical Evidence,1
Male,Less than 25,African-American,1 to 4,None,None,1 to 5,F,Attempted Burg/struct/unocc,1
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,M,arrest case no charge,1
Female,25 - 45,African-American,None,None,None,1 to 5,M,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Deliver Cocaine,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Possession Burglary Tools,1
Male,Less than 25,Other,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Pos Cannabis W/Intent Sel/Del,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,M,Possess Cannabis/20 Grams Or Less,0
Female,Less than 25,Caucasian,None,None,None,None,F,"Poss3,4 Methylenedioxymethcath",0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession Of Alprazolam,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Flee/Elude LEO-Agg Flee Unsafe,0
Female,Greater than 45,Caucasian,None,None,None,None,M,DUI Level 0.15 Or Minor In Veh,0
Female,25 - 45,Hispanic,None,None,None,None,M,Battery,0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Battery,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Fail To Redeliv Hire/Leas Prop,0
Female,25 - 45,Caucasian,None,None,None,None,F,Aggravated Assault W/Dead Weap,1
Male,Less than 25,Caucasian,None,1 to 2,1 to 2,5+ to 15,F,False Ownership Info/Pawn Item,1
Male,25 - 45,Caucasian,None,None,None,None,F,Possession Of Methamphetamine,0
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Morphine,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,M,Possess Cannabis/20 Grams Or Less,1
Male,25 - 45,Caucasian,None,None,None,None,F,Aggravated Assault w/Firearm,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Poss Contr Subst W/o Prescript,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,"Poss3,4 Methylenedioxymethcath",0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Aggrav Stalking After Injunctn,1
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Possession of Cocaine,1
Male,Less than 25,African-American,None,None,None,None,F,Uttering a Forged Instrument,1
Male,25 - 45,African-American,None,2+,1 to 2,25+,F,Driving While License Revoked,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Female,25 - 45,Other,None,None,None,1 to 5,F,Crim Use of Personal ID Info,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,None,15+ to 25,F,arrest case no charge,1
Female,Greater than 45,Caucasian,None,None,None,1 to 5,M,Resist/Obstruct W/O Violence,0
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Possession Of Alprazolam,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Possession Of Alprazolam,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Agg Fleeing and Eluding,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,Other,None,None,None,1 to 5,M,Petit Theft,0
Male,25 - 45,Caucasian,None,None,None,None,M,Disorderly Intoxication,1
Female,Less than 25,African-American,None,None,None,None,M,Battery,0
Female,25 - 45,Caucasian,None,1 to 2,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Female,25 - 45,Hispanic,None,None,None,1 to 5,F,Battery on Law Enforc Officer,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Resist/Obstruct W/O Violence,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Lewdness Violation,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Female,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Female,Less than 25,African-American,1 to 4,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,Caucasian,None,None,None,None,M,DUI Level 0.15 Or Minor In Veh,0
Male,25 - 45,African-American,1 to 4,1 to 2,None,5+ to 15,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Poss Pyrrolidinovalerophenone,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Assault,1
Female,25 - 45,African-American,None,None,None,None,F,Possession of Oxycodone,1
Female,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Tampering With Physical Evidence,1
Female,Less than 25,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,Caucasian,None,None,None,None,M,Fail To Obey Police Officer,0
Female,Greater than 45,African-American,None,None,None,1 to 5,F,Solicit Purchase Cocaine,1
Male,Greater than 45,Other,None,None,None,5+ to 15,F,Felony Petit Theft,1
Male,Greater than 45,Hispanic,None,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Hispanic,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Female,Greater than 45,Other,None,None,None,1 to 5,F,Grand Theft in the 1st Degree,0
Female,25 - 45,African-American,None,None,None,1 to 5,M,Driving Under The Influence,1
Male,Greater than 45,African-American,None,None,None,1 to 5,M,Battery,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession Of Carisoprodol,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Burglary Conveyance Assault/Bat,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Driving While License Revoked,1
Female,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Crim Use of Personal ID Info,0
Male,25 - 45,Caucasian,None,None,None,None,F,"Deliver 3,4 Methylenediox",0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Male,Less than 25,Hispanic,None,None,None,None,F,"Poss3,4 Methylenedioxymethcath",0
Female,25 - 45,African-American,None,None,None,5+ to 15,F,Aggravated Assault W/dead Weap,0
Male,Greater than 45,Hispanic,None,None,None,1 to 5,M,Leave Acc/Attend Veh/More $50,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,0
Female,25 - 45,Caucasian,None,None,None,5+ to 15,F,Possession of Cocaine,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,Hispanic,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Resist/Obstruct W/O Violence,1
Male,Greater than 45,Hispanic,None,None,None,1 to 5,F,Burglary Unoccupied Dwelling,0
Male,Greater than 45,Hispanic,None,None,None,None,F,Possession Of Heroin,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,1
Male,Greater than 45,Caucasian,None,None,None,None,F,Possession of Cocaine,0
Male,Less than 25,Other,None,None,None,None,F,Burglary Unoccupied Dwelling,0
Male,25 - 45,African-American,1 to 4,2+,1 to 2,15+ to 25,F,Child Abuse,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Pos Cannabis W/Intent Sel/Del,1
Male,Greater than 45,African-American,None,None,None,15+ to 25,M,Possess Cannabis/20 Grams Or Less,1
Male,Less than 25,African-American,None,None,None,None,M,Battery,1
Male,Greater than 45,Hispanic,None,None,None,1 to 5,F,Driving While License Revoked,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Agg Battery Grt/Bod/Harm,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,M,Viol Injunct Domestic Violence,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Poss Cocaine/Intent To Del/Sel,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,Caucasian,None,None,None,None,F,Possession Of Methamphetamine,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Deliver Cocaine,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Lewd or Lascivious Molestation,0
Male,Less than 25,African-American,None,None,None,None,F,Possession of Cannabis,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Female,Less than 25,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,Other,None,None,None,1 to 5,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Sexual Performance by a Child,0
Female,25 - 45,Caucasian,None,None,None,None,M,Leaving Acc/Unattended Veh,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Female,25 - 45,African-American,None,1 to 2,None,15+ to 25,F,Felony Petit Theft,1
Male,Less than 25,Other,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Fleeing Or Attmp Eluding A Leo,1
Male,25 - 45,African-American,None,None,None,None,M,Criminal Mischief,0
Female,25 - 45,African-American,None,None,None,None,F,Aggrav Battery w/Deadly Weapon,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,1
Female,25 - 45,Caucasian,None,None,None,5+ to 15,F,Felony Petit Theft,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Driving While License Revoked,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Trespass Struct/Conveyance,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Felony Driving While Lic Suspd,1
Male,25 - 45,African-American,None,None,None,15+ to 25,F,Possession of Cocaine,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Possess Cannabis/20 Grams Or Less,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Hispanic,None,None,None,None,M,DUI Property Damage/Injury,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Female,Greater than 45,Caucasian,None,None,None,None,M,Driving Under The Influence,1
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,Other,None,None,None,1 to 5,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,African-American,None,None,None,None,F,Aggravated Battery (Firearm/Actual Possession),0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Female,25 - 45,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,African-American,None,None,None,5+ to 15,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Robbery / No Weapon,1
Male,25 - 45,African-American,None,None,None,None,M,Battery,0
Male,25 - 45,Other,None,None,None,1 to 5,F,Aggravated Assault w/Firearm,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Grand Theft (Motor Vehicle),0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Robbery / Weapon,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,None,M,Battery,0
Male,Greater than 45,Caucasian,None,None,None,None,F,Burglary With Assault/battery,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Driving While License Revoked,1
Male,Greater than 45,African-American,None,None,None,None,F,Uttering a Forged Instrument,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,M,Battery,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Criminal Mischief,0
Male,Less than 25,African-American,None,None,None,None,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Driving While License Revoked,0
Male,25 - 45,Hispanic,None,None,None,1 to 5,F,Possession of Cannabis,0
Male,25 - 45,Caucasian,None,None,None,None,F,Burglary Unoccupied Dwelling,1
Male,25 - 45,Caucasian,None,None,None,None,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Aggravated Battery / Pregnant,0
Male,25 - 45,African-American,None,1 to 2,None,1 to 5,M,Possess Cannabis/20 Grams Or Less,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,None,25+,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,M,Battery,1
Male,25 - 45,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,Less than 25,Caucasian,None,None,1 to 2,1 to 5,M,Voyeurism,1
Female,25 - 45,Other,None,None,None,None,M,Battery,0
Female,25 - 45,Other,None,None,None,1 to 5,F,Driving While License Revoked,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Felony Driving While Lic Suspd,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,False Imprisonment,0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Prowling/Loitering,1
Female,Less than 25,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Viol Prot Injunc Repeat Viol,1
Female,25 - 45,Hispanic,None,None,None,None,M,Battery,0
Male,Less than 25,Hispanic,None,None,1 to 2,1 to 5,F,arrest case no charge,1
Female,Less than 25,Caucasian,None,None,2+,5+ to 15,F,arrest case no charge,1
Male,Less than 25,Hispanic,None,None,None,None,M,Possess Cannabis/20 Grams Or Less,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Carrying Concealed Firearm,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Carrying Concealed Firearm,1
Male,25 - 45,Other,None,None,None,None,F,Throw In Occupied Dwell,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,arrest case no charge,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Less than 25,African-American,None,None,None,None,F,Possession Burglary Tools,0
Male,Less than 25,Hispanic,None,None,1 to 2,None,F,"Poss3,4 Methylenedioxymethcath",0
Female,Greater than 45,African-American,None,None,None,None,F,Burglary Conveyance Unoccup,0
Female,Less than 25,African-American,None,None,None,None,F,Carrying Concealed Firearm,1
Female,Greater than 45,African-American,None,None,None,None,F,Aggravated Assault W/Dead Weap,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Deliver Cocaine,1
Male,25 - 45,Caucasian,None,None,None,None,F,"Deliver 3,4 Methylenediox",0
Male,25 - 45,Caucasian,None,None,None,None,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Unauth Poss ID Card or DL,1
Male,Less than 25,African-American,None,1 to 2,1 to 2,1 to 5,M,Battery,1
Female,Less than 25,Caucasian,None,None,None,1 to 5,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,African-American,None,None,None,1 to 5,M,Battery on Law Enforc Officer,0
Female,25 - 45,Other,None,None,None,None,F,Aggravated Assault W/Dead Weap,0
Male,25 - 45,African-American,None,None,None,15+ to 25,M,Opert With Susp DL 2nd Offens,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,None,F,Felony Battery (Dom Strang),0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,Less than 25,African-American,None,None,None,None,M,Petit Theft,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,Hispanic,None,None,None,1 to 5,F,Crim Use of Personal ID Info,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,M,Battery,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Driving License Suspended,0
Male,Less than 25,Caucasian,None,None,None,None,F,Aggravated Assault W/Dead Weap,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Oxycodone,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Aggravated Battery / Pregnant,1
Male,Less than 25,Other,None,None,None,None,F,Failure To Return Hired Vehicle,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Agg Fleeing/Eluding High Speed,0
Female,Less than 25,African-American,None,None,None,None,M,Battery,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Attempted Robbery  No Weapon,0
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,Caucasian,None,None,None,None,F,False Imprisonment,0
Male,25 - 45,African-American,1 to 4,None,1 to 2,1 to 5,M,Possess Cannabis/20 Grams Or Less,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Battery on Law Enforc Officer,0
Male,25 - 45,Other,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Female,25 - 45,African-American,None,None,None,5+ to 15,F,Aggrav Battery w/Deadly Weapon,0
Male,Less than 25,Hispanic,None,None,None,None,F,Burglary Conveyance Unoccup,0
Male,25 - 45,African-American,None,None,None,None,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Female,25 - 45,Caucasian,None,None,None,None,F,Possession of Cocaine,0
Male,Less than 25,Other,None,1 to 2,None,5+ to 15,F,Resist Officer w/Violence,1
Male,25 - 45,African-American,None,None,None,None,F,Aggrav Battery w/Deadly Weapon,0
Male,Less than 25,African-American,None,None,None,None,F,Grand Theft (Motor Vehicle),1
Female,Greater than 45,Caucasian,None,None,None,None,M,Battery on Law Enforc Officer,0
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery On Parking Enfor Speci,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,0
Male,Less than 25,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,0
Male,Less than 25,African-American,None,1 to 2,None,1 to 5,F,Burglary Structure Unoccup,1
Male,Greater than 45,Caucasian,None,None,None,25+,F,Corrupt Public Servant,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Crim Use of Personal ID Info,0
Male,Less than 25,Hispanic,None,1 to 2,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,African-American,None,None,None,None,F,Aggrav Battery w/Deadly Weapon,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,M,Petit Theft,1
Female,Less than 25,Hispanic,None,None,None,1 to 5,M,Operating W/O Valid License,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Pos Cannabis W/Intent Sel/Del,0
Female,Less than 25,African-American,None,None,None,None,F,Robbery Sudd Snatch No Weapon,1
