,NN,NG,KNN,Final,two_year_recid
106,0,0,1,1,0
107,1,1,1,1,1
108,0,0,0,0,0
109,1,0,0,1,1
110,0,0,0,1,1
111,0,0,0,0,0
112,1,0,1,1,1
113,0,0,1,0,0
114,0,0,1,1,1
115,1,1,1,1,1
116,0,0,1,1,1
117,1,1,1,1,1
118,0,0,0,0,0
119,0,0,0,1,0
120,1,1,1,1,1
121,1,0,1,0,1
122,0,0,0,1,0
123,0,0,0,0,0
124,1,1,1,1,1
125,0,0,0,1,0
126,1,0,0,1,1
127,1,0,0,1,0
128,0,0,0,0,0
129,0,0,0,0,0
130,1,0,0,0,0
131,0,0,1,1,0
132,0,0,0,1,1
133,0,0,0,0,0
134,1,1,1,1,1
135,0,0,0,0,1
136,0,0,0,1,1
137,0,0,1,0,1
138,0,0,0,1,1
139,0,0,0,1,0
140,0,0,0,0,1
141,0,0,0,0,0
142,0,1,0,0,0
143,0,0,0,0,0
144,1,1,1,1,1
145,1,1,1,1,1
146,1,0,1,1,1
147,0,0,0,0,1
148,1,0,1,1,1
149,1,0,1,1,1
150,0,0,0,0,0
151,0,0,0,1,0
152,0,0,1,1,1
153,1,0,0,1,1
154,0,0,0,0,0
155,0,0,1,0,1
156,0,0,0,0,0
157,0,0,0,1,0
158,0,0,1,1,1
159,0,0,0,0,0
160,0,0,0,1,1
161,0,0,0,1,0
162,0,0,0,0,0
163,1,0,0,0,0
164,0,0,1,1,1
165,0,0,0,1,0
166,0,0,0,1,0
167,0,0,0,0,1
168,0,0,0,0,0
169,0,0,1,1,0
170,0,0,0,1,0
171,0,0,0,0,0
172,0,0,0,1,0
173,0,0,0,0,0
174,1,0,1,1,1
175,1,0,1,1,1
176,0,0,0,1,0
177,0,0,0,0,0
178,0,0,0,0,1
179,0,0,0,0,0
180,0,0,0,1,0
181,1,1,1,1,1
182,1,0,1,1,1
183,1,1,1,1,1
184,0,0,0,0,1
185,0,0,0,0,0
186,0,0,1,0,1
187,0,0,0,1,0
188,0,0,0,1,1
189,1,1,1,1,1
190,0,0,0,0,1
191,0,0,0,0,1
192,1,0,1,1,1
193,0,0,1,1,0
194,0,0,1,0,1
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,1,0,1
198,0,0,0,1,0
199,0,0,0,1,0
200,0,0,0,0,0
201,1,1,1,1,1
202,1,0,0,1,1
203,1,0,1,1,1
204,0,0,0,1,0
205,0,0,0,1,0
206,1,0,1,1,1
207,1,0,1,1,1
208,0,0,1,0,0
209,0,0,0,1,0
210,0,0,0,0,0
211,0,0,0,0,1
212,1,1,0,1,0
213,0,0,1,1,0
214,0,0,0,0,0
215,0,0,0,1,0
216,0,0,0,0,0
217,0,0,1,1,1
218,0,0,0,0,0
219,0,0,0,0,1
220,0,0,0,1,0
221,0,0,0,0,1
222,0,0,0,0,0
223,0,0,1,0,0
224,1,1,1,1,1
225,0,0,1,0,0
226,0,0,0,0,1
227,1,0,0,1,0
228,1,0,1,1,0
229,0,0,0,0,1
230,0,0,0,0,0
231,0,0,0,1,0
232,1,1,1,1,1
233,0,0,0,0,0
234,0,0,0,0,0
235,1,1,1,1,1
236,0,0,0,1,0
237,0,0,0,0,0
238,1,0,0,1,0
239,1,0,0,1,0
240,0,0,1,1,1
241,0,0,0,0,1
242,1,1,0,1,0
243,1,1,1,1,0
244,0,0,0,0,0
245,1,1,1,1,1
246,1,0,1,1,1
247,0,0,0,0,0
248,1,0,1,1,1
249,0,0,0,0,0
250,0,0,0,0,0
251,1,0,1,1,1
252,1,0,0,1,0
253,1,0,1,1,1
254,0,0,1,0,1
255,0,0,1,1,1
256,0,0,1,0,0
257,1,0,1,0,1
258,1,1,1,1,1
259,0,0,0,0,0
260,0,0,1,0,0
261,1,0,0,1,1
262,0,0,1,1,1
263,0,0,0,1,0
264,1,0,1,1,0
265,0,0,0,0,0
266,0,0,1,0,0
267,1,0,1,0,0
268,1,0,1,0,0
269,0,0,0,1,0
270,0,0,0,0,1
271,0,0,0,0,0
272,0,0,0,1,1
273,0,0,0,1,0
274,0,0,0,0,1
275,1,1,1,1,1
276,1,1,1,1,1
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,1,0
282,1,1,0,1,0
283,0,0,0,0,1
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,1,1,1
287,0,0,0,0,0
288,0,0,1,0,1
289,0,0,0,0,0
290,0,0,1,1,1
291,0,0,1,0,1
292,0,0,1,1,1
293,1,0,0,1,0
294,1,0,1,0,1
295,0,0,0,1,0
296,0,0,1,1,1
297,1,0,1,1,1
298,0,0,0,0,0
299,1,0,1,1,1
300,0,0,0,1,0
301,0,0,1,1,1
302,0,0,0,1,0
303,0,0,0,0,0
304,1,0,0,1,0
305,1,0,1,1,1
306,0,0,0,1,0
307,1,1,1,1,1
308,1,0,1,1,0
309,0,0,0,0,1
310,0,0,0,1,0
311,0,0,0,1,0
312,0,0,1,0,0
313,0,0,1,0,1
314,0,0,1,0,1
315,0,0,0,0,0
316,1,1,1,1,1
317,0,0,0,1,0
318,1,0,1,1,1
319,0,0,0,0,0
320,0,0,0,1,0
321,1,0,0,1,0
322,1,0,0,0,1
323,0,0,0,0,0
324,1,0,0,1,0
325,1,1,1,1,1
326,1,1,0,1,1
327,0,0,1,0,1
328,0,0,0,1,0
329,1,1,1,1,0
330,0,0,0,1,0
331,0,0,1,1,1
332,0,0,0,1,0
333,0,0,0,0,0
334,0,0,1,1,1
335,0,0,0,0,0
336,0,0,1,0,0
337,1,0,1,0,1
338,0,0,0,0,1
339,0,0,0,1,0
340,0,0,0,0,0
341,0,0,0,1,0
342,0,0,0,1,0
343,0,0,1,0,0
344,1,1,1,1,1
345,1,0,1,0,0
346,0,0,1,0,0
347,0,0,1,0,1
348,0,0,0,1,0
349,1,1,1,1,1
350,0,0,1,0,0
351,0,0,0,0,0
352,0,1,1,0,0
353,0,0,0,0,0
354,1,0,0,0,0
355,1,0,1,1,1
356,1,0,0,0,0
357,0,0,0,0,1
358,0,0,0,1,0
359,0,0,0,0,0
360,0,0,0,0,0
361,1,1,1,1,1
362,0,0,1,0,1
363,0,1,0,0,0
364,0,0,1,1,0
365,0,0,0,0,0
366,1,1,1,0,0
367,1,0,1,1,1
368,1,1,0,1,0
369,1,0,1,1,1
370,0,0,1,1,1
371,0,0,0,0,0
372,0,0,0,0,1
373,0,0,0,0,1
374,1,0,1,1,1
375,0,0,0,0,0
376,0,0,1,1,0
377,0,0,0,0,0
378,0,0,0,0,0
379,0,0,0,1,0
380,1,1,1,1,1
381,1,0,1,1,1
382,1,0,0,0,0
383,1,1,1,1,1
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,1,0,1,1,0
388,1,1,1,1,1
389,0,0,0,0,0
390,1,1,1,1,1
391,1,0,1,1,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,1,0,1
395,1,1,1,1,1
396,1,1,1,1,0
397,0,0,1,1,1
398,1,1,0,1,0
399,0,0,0,1,0
400,0,0,0,1,0
401,0,0,0,0,0
402,1,0,1,1,1
403,0,0,0,0,1
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,1,0
407,0,0,0,1,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,1,1
411,1,0,0,1,0
412,0,0,0,1,1
413,0,0,0,0,0
414,0,0,0,1,0
415,0,0,0,1,0
416,1,0,1,1,1
417,1,0,1,1,1
418,1,0,1,1,1
419,0,0,0,0,0
420,1,0,1,1,1
421,0,0,1,0,1
422,1,0,0,1,0
423,1,1,1,1,1
424,1,0,1,1,0
425,0,0,0,0,1
426,0,0,0,1,0
427,0,0,1,1,1
428,1,0,1,1,0
429,1,0,0,1,0
430,1,1,1,1,1
431,0,0,0,1,0
432,0,0,0,0,0
433,0,0,1,1,1
434,1,0,1,1,1
435,0,0,0,0,0
436,0,0,0,0,0
437,0,0,0,0,0
438,1,0,0,0,1
439,1,1,1,0,1
440,0,0,1,0,1
441,0,0,0,0,1
442,0,0,0,0,0
443,0,0,0,1,0
444,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,0
447,1,1,0,1,0
448,0,0,0,0,1
449,0,0,1,0,1
450,0,0,1,0,1
451,1,1,1,1,1
452,1,1,1,1,0
453,0,0,1,0,1
454,1,0,0,1,1
455,0,0,1,1,1
456,0,0,1,1,1
457,0,0,0,0,1
458,0,0,0,1,1
459,1,1,1,1,1
460,1,0,1,1,0
461,0,0,0,1,0
462,0,0,0,0,0
463,1,1,1,1,0
464,1,1,1,1,1
465,1,1,1,1,1
466,1,1,0,1,1
467,0,0,0,0,0
468,0,0,1,1,1
469,1,0,1,1,1
470,0,0,0,0,0
471,1,0,1,1,1
472,0,0,0,0,0
473,0,0,0,0,0
474,0,0,0,0,0
475,0,0,0,1,0
476,1,0,0,0,1
477,0,0,0,0,0
478,0,0,1,1,1
479,0,0,0,0,1
480,0,0,0,1,0
481,0,0,0,0,0
482,0,0,0,1,0
483,1,0,1,1,1
484,1,1,1,1,1
485,0,0,0,0,0
486,0,0,1,0,1
487,0,0,1,1,0
488,0,0,0,1,0
489,1,0,1,1,1
490,0,0,1,0,1
491,0,0,0,0,0
492,1,0,1,1,1
493,0,0,0,1,0
494,0,0,0,0,0
495,0,0,1,0,1
496,1,0,1,1,1
497,0,0,0,1,1
498,1,0,1,1,1
499,1,1,1,1,0
500,1,1,0,1,1
501,1,0,0,0,0
502,0,0,0,1,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,1,0,1,1,0
507,1,0,0,1,0
508,0,0,0,0,0
509,0,0,0,1,0
510,1,0,1,1,0
511,0,0,1,0,0
512,0,0,0,0,0
513,0,0,0,1,0
514,0,0,0,0,0
515,0,0,1,1,1
516,1,0,1,1,1
517,0,0,0,0,0
518,0,0,0,1,1
519,0,0,1,0,1
520,0,0,0,1,0
521,1,0,1,1,1
522,1,0,1,1,1
523,0,0,0,1,0
524,0,0,0,0,0
525,1,1,1,1,0
526,0,1,0,0,1
527,0,0,0,1,0
528,1,1,1,1,1
529,0,0,0,0,1
530,1,0,1,0,1
531,0,0,1,1,0
532,0,0,0,0,0
533,1,1,1,1,0
534,0,0,0,0,0
535,1,1,1,1,1
536,1,1,1,1,1
537,1,1,1,1,1
538,0,0,1,0,1
539,0,0,0,0,0
540,1,0,1,1,1
541,0,0,0,0,1
542,0,0,1,1,1
543,0,0,0,1,0
544,0,0,0,1,0
545,1,0,1,0,0
546,0,0,0,1,0
547,1,0,0,1,0
548,0,0,1,1,0
549,1,0,1,1,0
550,0,0,0,0,0
551,0,0,0,0,1
552,1,1,1,1,1
553,0,0,0,1,0
554,1,1,1,1,1
555,0,0,0,0,0
556,0,0,0,1,0
557,0,0,0,1,0
558,1,1,1,1,1
559,0,0,0,0,0
560,1,0,0,1,0
561,1,0,1,0,1
562,0,0,1,1,0
563,1,0,0,1,0
564,1,0,1,1,1
565,1,0,1,1,0
566,0,0,1,1,1
567,0,0,0,0,0
568,1,1,0,1,0
569,1,0,0,1,0
570,0,0,0,1,0
571,1,0,0,0,0
572,0,0,0,1,0
573,0,0,1,1,1
574,0,0,1,0,1
575,1,0,1,1,1
576,0,0,0,0,1
577,0,0,0,0,0
578,1,0,1,1,1
579,0,0,0,0,0
580,0,0,0,0,0
581,0,0,0,0,1
582,1,1,1,1,1
583,0,0,0,1,0
584,0,0,1,0,0
585,1,1,1,1,1
586,1,0,0,0,0
587,0,0,0,1,0
588,0,0,0,1,0
589,0,0,1,0,0
590,0,0,1,1,1
591,0,0,1,0,0
592,0,0,0,1,0
593,1,1,1,0,0
594,0,0,1,1,1
595,0,0,1,0,1
596,1,1,0,1,1
597,0,0,0,0,0
598,1,1,1,1,1
599,0,0,0,1,0
600,0,0,1,1,1
601,0,0,0,0,0
602,1,0,1,1,1
603,0,0,1,0,0
604,0,0,0,1,0
605,0,0,0,1,0
606,1,0,1,1,1
607,0,0,0,0,0
608,1,0,0,1,1
609,0,0,0,0,0
610,1,0,0,1,1
611,0,0,0,0,0
612,1,0,1,1,1
613,0,0,1,1,1
614,1,1,0,1,0
615,1,0,0,1,0
616,0,0,1,1,1
617,1,0,0,1,0
618,0,0,0,1,0
619,1,0,1,0,1
620,0,0,0,0,0
621,0,0,0,0,0
622,1,1,1,1,1
623,1,0,1,1,1
624,0,0,0,0,0
625,1,1,1,1,1
626,1,0,1,1,1
627,1,0,0,1,0
628,1,0,0,0,0
629,1,1,1,1,1
630,0,0,0,1,0
631,1,1,1,1,1
632,0,0,1,1,1
633,0,0,0,1,0
634,0,0,1,0,1
635,0,0,0,1,1
636,1,0,0,1,0
637,0,0,0,0,0
638,0,0,1,1,0
639,1,0,0,0,1
640,1,0,1,1,1
641,1,0,1,1,1
642,1,0,1,1,1
643,1,0,1,1,0
644,0,0,0,0,0
645,1,0,1,1,0
646,0,0,1,1,1
647,0,0,1,0,1
648,1,0,1,1,1
649,1,0,1,1,1
650,1,1,1,1,1
651,0,0,0,1,1
652,1,1,1,1,1
653,1,1,0,1,0
654,1,1,1,1,0
655,0,0,0,0,1
656,0,0,1,1,1
657,0,0,0,1,1
658,0,0,1,1,0
659,0,0,0,1,0
660,0,0,0,0,0
661,0,0,0,0,0
662,0,0,0,1,0
663,1,1,0,1,0
664,0,0,0,1,1
665,1,0,0,1,0
666,0,0,0,1,0
667,0,0,0,1,0
668,0,0,0,0,0
669,0,0,0,0,0
670,0,0,1,0,0
671,0,0,1,0,1
672,1,1,0,1,1
673,1,0,1,1,0
674,0,0,0,1,0
675,1,1,1,1,1
676,1,0,1,1,1
677,1,0,1,0,1
678,1,0,1,1,0
679,0,0,1,0,1
680,0,0,0,0,1
681,1,1,1,1,1
682,0,0,0,0,0
683,1,0,1,1,0
684,0,1,0,0,0
685,0,0,0,0,0
686,1,1,1,1,1
687,0,0,0,1,0
688,0,0,0,1,1
689,1,1,0,0,0
690,1,0,1,0,1
691,0,0,0,0,1
692,1,1,0,1,1
693,0,0,1,0,0
694,0,0,0,0,0
695,0,0,0,1,0
696,0,0,0,0,0
697,1,0,0,1,0
698,1,0,1,1,1
699,1,1,1,1,1
700,0,0,1,1,0
701,0,0,0,1,1
702,0,0,0,0,0
703,1,1,0,1,0
704,0,0,0,0,0
705,0,0,0,1,0
706,0,0,0,0,0
707,0,0,1,1,1
708,1,0,1,1,1
709,0,0,0,1,0
710,1,1,1,1,1
711,0,0,0,1,0
712,1,0,0,0,0
713,0,0,1,0,1
714,0,0,0,1,0
715,0,0,1,1,1
716,0,0,1,1,0
717,0,0,0,0,0
718,0,0,1,1,1
719,0,0,0,1,0
720,0,0,0,1,0
721,1,0,0,0,0
722,0,0,0,0,0
723,0,0,0,0,0
724,1,1,0,1,1
725,0,0,0,0,0
726,1,1,0,0,1
727,0,0,0,1,1
728,0,0,1,1,1
729,0,0,0,1,0
730,0,0,0,0,0
731,1,0,1,1,1
732,0,0,0,1,0
733,0,0,0,0,0
734,0,0,0,0,0
735,1,0,0,1,0
736,1,1,1,1,1
737,0,0,1,0,0
738,0,0,0,1,0
739,0,0,0,1,0
740,1,1,1,1,1
741,0,0,0,1,1
742,0,0,0,0,0
743,1,0,0,0,0
744,1,1,0,1,1
745,0,0,0,0,0
746,0,0,0,0,0
747,1,1,0,1,0
748,0,0,0,0,0
749,1,1,1,0,1
750,0,0,1,0,0
751,1,0,1,0,1
752,1,0,1,1,1
753,1,0,0,1,0
754,1,1,1,1,1
755,0,0,1,0,1
756,0,0,0,0,0
757,0,0,1,1,1
758,0,0,0,0,0
759,0,0,1,1,0
760,1,1,1,1,1
761,0,0,0,0,0
762,0,0,0,1,0
763,1,0,1,1,1
764,1,0,0,1,0
765,0,0,0,1,0
766,1,0,1,1,1
767,0,0,0,0,0
768,0,0,1,0,0
769,0,0,1,1,1
770,0,0,1,1,0
771,0,0,0,0,0
772,1,0,1,1,1
773,0,0,0,0,0
774,0,0,0,1,0
775,0,0,0,0,0
776,0,0,0,1,0
777,0,0,1,0,1
778,1,1,1,1,1
779,0,0,1,1,1
780,1,0,0,1,0
781,0,0,0,0,0
782,0,0,0,0,0
783,0,0,1,1,0
784,0,0,0,0,0
785,1,1,1,1,1
786,0,0,0,1,0
787,0,0,0,1,1
788,1,1,1,1,1
789,0,0,0,0,0
790,0,0,0,0,0
791,0,0,0,1,0
792,1,0,0,0,1
793,0,0,0,0,0
794,1,1,0,0,0
795,0,0,1,0,1
796,0,0,0,0,0
797,0,0,0,0,0
798,1,0,0,1,0
799,0,0,1,0,1
800,0,0,0,1,0
801,0,0,0,0,0
802,0,0,0,1,0
803,1,1,0,1,1
804,0,1,1,1,1
805,1,0,1,0,1
806,1,1,0,1,0
807,0,0,0,1,0
808,1,0,0,1,0
809,0,0,0,0,0
810,0,0,0,1,0
811,1,0,0,1,0
812,0,0,0,1,0
813,1,1,1,1,1
814,0,0,1,1,0
815,0,0,1,0,1
816,0,0,0,1,1
817,1,1,1,1,0
818,0,0,0,1,1
819,0,0,0,0,1
820,0,0,0,0,0
821,0,0,1,1,0
822,1,0,1,0,1
823,0,0,0,0,0
824,0,0,1,0,0
825,1,1,1,1,1
826,0,0,0,0,0
827,0,0,1,1,1
828,1,1,1,1,0
829,1,1,1,1,1
830,1,1,1,1,1
831,1,0,1,0,1
832,0,1,1,1,1
833,1,0,1,1,1
834,0,0,1,0,1
835,0,0,0,0,0
836,0,0,0,1,0
837,0,0,1,0,1
838,0,0,1,0,0
839,1,0,1,1,1
840,0,0,1,1,0
841,0,0,0,1,0
842,1,0,1,1,1
843,1,0,0,1,1
844,0,0,1,0,1
845,1,0,1,0,0
846,1,1,1,1,1
847,1,1,1,1,1
848,1,1,1,1,1
849,0,0,0,0,0
850,1,1,1,1,1
851,0,0,0,0,0
852,0,0,0,0,0
853,0,0,0,1,0
854,1,1,1,1,0
855,0,0,0,0,0
856,1,0,1,0,1
857,0,0,0,0,0
858,1,0,0,1,0
859,1,0,1,1,1
860,0,0,0,1,0
861,0,0,0,1,1
862,1,1,1,1,1
863,0,0,1,1,0
864,1,1,1,1,1
865,0,0,0,1,0
866,0,0,1,1,1
867,0,0,0,1,0
868,0,0,0,1,0
869,0,0,1,0,0
870,1,1,1,1,0
871,0,0,0,0,0
872,1,1,1,0,1
873,0,0,0,0,0
874,1,1,1,1,1
875,0,0,1,1,1
876,0,0,0,0,0
877,0,0,0,1,0
878,0,0,0,1,0
879,1,1,1,1,1
880,0,0,0,0,0
881,1,0,1,1,1
882,0,0,0,0,0
883,1,0,1,0,1
884,1,0,1,0,0
885,0,0,1,0,1
886,0,0,0,0,0
887,0,0,0,0,0
888,1,0,1,1,1
889,0,0,0,1,1
890,0,0,1,1,1
891,0,0,0,1,0
892,0,0,0,0,0
893,0,0,0,0,1
894,0,0,0,1,1
895,1,0,0,1,1
896,0,0,1,1,1
897,0,0,0,1,0
898,0,0,0,0,1
899,1,0,0,1,0
900,0,0,0,0,0
901,0,0,0,1,0
902,0,0,1,0,0
903,0,0,1,0,0
904,0,0,0,1,0
905,0,0,1,1,1
906,1,0,1,0,1
907,0,0,0,0,1
908,0,0,1,0,0
909,0,0,0,0,0
910,1,0,1,1,1
911,0,0,1,0,1
912,0,0,1,0,1
913,1,0,1,0,1
914,1,1,1,1,1
915,0,0,0,1,0
916,0,0,0,1,0
917,0,0,1,0,0
918,1,0,1,1,1
919,1,0,0,1,1
920,0,0,0,0,0
921,0,0,0,1,0
922,0,0,0,0,0
923,0,0,1,1,0
924,0,0,0,0,0
925,0,0,1,0,1
926,0,0,1,1,1
927,1,1,1,1,1
928,1,0,0,1,0
929,1,0,1,1,1
930,0,0,0,0,0
931,1,0,0,0,0
932,1,0,1,0,0
933,0,0,1,0,1
934,1,1,1,1,1
935,0,0,0,1,0
936,1,0,0,0,0
937,0,0,0,0,1
938,0,0,1,1,1
939,1,0,1,1,1
940,0,0,1,1,0
941,0,0,1,1,0
942,0,0,1,1,0
943,0,0,0,1,1
944,0,0,0,0,0
945,1,1,1,1,1
946,0,0,0,1,0
947,0,0,0,0,1
948,1,0,1,1,1
949,0,0,0,0,0
950,0,0,1,1,1
951,0,0,1,0,1
952,1,1,1,1,1
953,0,0,0,0,1
954,1,0,1,0,1
955,0,0,0,0,0
956,0,0,0,0,1
957,0,0,0,0,0
958,0,0,0,0,1
959,0,0,0,1,0
960,1,0,0,1,0
961,0,0,0,0,0
962,1,0,1,1,1
963,0,0,0,0,1
964,0,0,1,1,0
965,1,1,1,1,1
966,0,0,1,1,1
967,0,0,0,1,0
968,1,0,1,0,1
969,1,1,0,1,0
970,0,0,0,1,0
971,1,0,1,1,1
972,0,0,0,1,0
973,1,0,1,0,1
974,0,0,1,0,1
975,0,0,0,0,0
976,0,0,1,1,0
977,0,0,0,1,0
978,0,0,0,1,0
979,1,0,1,1,1
980,1,1,0,1,0
981,1,1,1,1,1
982,1,0,1,1,1
983,0,0,0,0,1
984,1,0,0,1,0
985,0,0,1,0,0
986,0,0,0,1,0
987,1,0,0,0,0
988,0,1,0,1,1
989,0,0,0,0,0
990,1,0,1,0,1
991,0,0,1,1,0
992,0,0,0,0,0
993,0,0,1,1,0
994,0,0,1,0,1
995,0,0,0,1,0
996,0,0,0,1,0
997,1,0,1,1,0
998,0,0,0,0,0
999,1,1,1,1,1
1000,1,0,1,1,1
1001,0,0,0,1,0
1002,1,0,1,1,1
1003,1,1,1,0,1
1004,0,0,0,0,0
1005,0,0,0,0,0
1006,0,0,0,1,1
1007,0,0,0,0,0
1008,1,1,1,1,1
1009,0,0,0,0,0
1010,0,0,0,1,0
1011,1,1,1,1,0
1012,0,0,0,0,1
1013,0,0,0,1,0
1014,0,0,0,0,0
1015,1,1,1,1,1
1016,0,0,0,1,0
1017,0,0,0,0,1
1018,0,0,1,1,1
1019,0,0,0,1,0
1020,0,0,0,0,0
1021,0,0,1,0,0
1022,0,0,1,1,1
1023,1,1,1,1,1
1024,0,0,0,1,0
1025,0,0,0,1,0
1026,0,0,0,0,0
1027,0,0,0,1,0
1028,0,0,0,1,0
1029,0,0,1,1,1
1030,0,0,0,0,1
1031,0,0,0,1,0
1032,0,0,0,0,0
1033,1,1,1,1,1
1034,0,0,0,0,1
1035,0,0,0,0,0
1036,0,0,0,1,0
1037,0,0,1,0,1
1038,0,0,1,1,0
1039,0,0,0,0,1
1040,0,0,0,1,0
1041,0,0,0,0,0
1042,1,0,1,1,1
1043,1,1,1,1,1
1044,0,0,1,0,0
1045,0,0,1,1,0
1046,0,0,0,1,0
1047,0,0,0,1,0
1048,0,0,0,1,0
1049,0,0,0,0,0
1050,1,1,0,1,0
1051,1,0,1,1,1
1052,0,0,1,0,1
1053,0,0,1,0,1
1054,0,0,0,1,0
1055,1,0,0,1,0
1056,0,0,0,0,0
1057,0,0,0,0,1
1058,1,0,1,1,1
1059,0,0,1,0,0
1060,0,0,0,1,0
1061,1,0,0,1,1
1062,0,0,0,1,0
1063,0,0,0,0,0
1064,0,0,0,0,0
1065,0,0,0,1,0
1066,0,0,0,0,0
1067,0,0,1,0,1
1068,0,0,0,0,0
1069,0,0,0,0,0
1070,0,0,0,1,1
1071,0,0,0,0,0
1072,1,0,1,1,0
1073,1,1,1,1,1
1074,0,0,0,1,0
1075,0,0,0,1,0
1076,0,0,0,0,0
1077,1,1,1,1,1
1078,0,0,0,0,0
1079,0,0,0,1,0
1080,0,0,0,0,0
1081,0,0,0,1,1
1082,0,0,1,0,1
1083,1,1,1,1,0
1084,1,0,1,1,1
1085,1,0,1,1,1
1086,0,0,0,0,0
1087,1,0,1,1,1
1088,0,0,0,1,0
1089,0,0,0,1,0
1090,0,0,0,0,0
1091,0,0,0,1,0
1092,0,0,1,1,0
1093,0,0,1,0,0
1094,0,0,0,1,1
1095,0,0,0,0,0
1096,0,0,1,1,1
1097,1,0,1,1,1
1098,1,0,0,1,1
1099,0,0,0,0,1
1100,1,1,0,1,0
1101,0,0,0,1,0
1102,1,0,0,1,0
1103,0,0,0,1,0
1104,0,0,0,1,0
1105,0,0,0,1,0
1106,0,0,0,1,1
1107,1,0,1,1,1
1108,1,1,1,1,1
1109,0,0,0,0,1
1110,1,1,1,1,0
1111,0,0,0,0,1
1112,0,0,0,1,0
1113,1,1,1,1,1
1114,0,0,0,0,0
1115,0,0,0,0,0
1116,0,0,1,1,0
1117,1,0,1,1,1
1118,1,1,1,1,0
1119,1,0,0,1,1
1120,1,1,1,1,1
1121,0,0,0,0,1
1122,0,0,0,0,1
1123,0,0,0,0,0
1124,0,0,0,0,0
1125,1,0,1,1,1
1126,0,0,0,0,1
1127,0,0,0,0,0
1128,0,0,0,1,0
1129,0,0,0,1,0
1130,0,0,0,0,0
1131,0,0,0,0,0
1132,0,0,0,1,0
1133,1,1,1,1,0
1134,1,0,1,1,1
1135,0,0,1,1,1
1136,0,0,0,1,1
1137,0,0,0,1,0
1138,0,0,0,1,0
1139,0,0,0,0,1
1140,0,0,0,0,0
1141,0,0,0,0,0
1142,0,0,0,0,0
1143,0,0,1,0,1
1144,0,0,0,1,0
1145,1,1,1,1,1
1146,1,0,1,1,1
1147,0,0,0,1,0
1148,0,1,1,1,0
1149,0,0,0,1,0
