sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
1,22,0,0,0,0,1,1,6,1
1,22,1,0,0,0,0,0,12,0
0,26,0,0,0,0,1,0,44,1
1,27,1,0,0,0,1,0,45,1
1,32,0,0,0,0,0,0,46,0
1,41,0,0,0,0,1,1,5,0
1,30,0,0,0,0,8,1,27,1
1,50,5,0,0,0,0,0,5,1
1,25,0,1,6,1,14,0,5,1
1,20,5,0,0,0,0,0,22,1
1,22,0,1,0,0,2,0,47,1
1,23,0,0,0,1,2,1,5,1
0,35,0,0,0,0,1,1,5,0
1,36,0,0,0,0,9,0,48,1
1,26,1,0,0,0,7,0,7,1
1,21,5,0,0,0,1,0,12,1
1,25,1,0,0,0,9,0,21,1
1,71,0,0,0,0,12,1,27,0
0,20,1,0,0,0,0,0,10,0
1,39,1,0,0,0,2,0,49,1
1,66,1,0,0,0,3,0,50,0
0,54,1,0,0,0,0,1,32,0
0,44,2,0,0,0,0,1,6,0
1,19,0,0,0,0,1,1,6,1
1,24,0,0,0,0,1,0,5,0
1,30,0,0,0,0,1,0,51,0
0,39,1,0,0,0,0,0,52,1
1,24,1,0,1,2,8,0,53,1
1,30,1,0,0,0,0,0,16,0
1,31,1,0,0,0,0,1,6,0
0,39,1,0,0,0,1,0,54,0
1,59,0,0,0,0,14,0,5,1
1,43,1,0,0,0,1,0,3,0
1,21,0,0,0,0,3,0,12,1
1,38,1,0,0,0,5,1,27,1
1,34,1,0,0,0,0,0,1,0
1,33,0,0,0,0,5,0,55,1
1,37,0,0,0,0,3,0,10,0
1,42,1,0,0,0,1,0,56,1
1,41,0,0,1,0,10,0,3,1
1,22,0,0,0,0,0,0,31,1
1,33,0,0,12,2,28,0,13,1
1,31,0,0,0,0,1,1,6,0
0,30,5,0,0,0,1,0,57,0
1,31,1,0,0,0,13,0,5,1
1,27,0,0,0,0,3,0,3,1
1,56,0,0,0,0,8,0,5,0
1,52,1,0,0,0,3,1,6,0
1,33,0,0,0,0,19,0,5,1
0,64,1,0,0,0,2,1,58,0
1,22,1,0,0,0,4,0,49,1
1,42,1,0,0,0,6,0,49,0
0,25,1,0,0,0,2,0,5,0
1,30,1,0,0,0,1,1,24,0
1,28,1,0,0,0,2,0,5,0
0,37,5,0,0,0,2,1,59,0
1,28,1,0,0,0,0,1,60,1
0,24,0,0,0,0,0,1,6,0
0,29,1,0,1,0,10,0,12,1
1,44,1,0,0,0,2,1,6,1
0,30,2,0,0,0,4,0,15,1
1,32,0,0,0,0,3,0,3,1
1,31,1,0,0,0,2,1,58,1
1,31,0,0,0,0,1,1,61,0
1,59,1,0,0,0,1,0,3,1
0,45,1,0,0,0,4,0,5,0
0,20,0,1,0,0,1,0,5,0
0,43,1,0,0,0,0,1,32,0
1,38,0,1,1,0,9,0,3,1
1,32,0,0,0,0,11,0,62,1
1,33,0,0,0,0,8,1,63,1
0,31,0,0,0,0,0,0,34,1
0,33,0,0,0,0,7,0,3,1
1,27,0,0,0,0,2,0,22,1
0,20,0,0,0,0,0,0,12,0
0,26,1,0,0,0,0,1,64,0
0,61,0,0,0,0,1,0,65,1
1,52,5,0,0,0,13,0,66,1
1,63,2,0,0,0,1,0,5,0
0,32,0,0,0,0,4,0,5,1
1,29,2,0,0,0,1,0,12,0
0,46,5,0,0,0,1,0,67,0
0,26,0,0,0,0,2,1,68,1
1,55,0,0,0,0,3,1,6,0
0,30,1,0,0,0,3,0,69,1
1,30,0,0,0,0,1,0,70,0
1,48,1,0,0,0,2,1,6,0
1,22,0,0,0,0,1,0,5,0
1,46,1,0,0,0,6,0,13,1
0,49,1,0,0,0,6,0,57,0
1,31,1,0,0,0,0,0,71,0
1,25,0,0,0,0,1,1,6,1
1,23,2,0,0,0,0,0,10,0
0,32,0,0,0,0,5,0,72,0
1,52,2,0,0,0,2,1,73,0
1,62,0,0,0,0,8,0,3,0
0,37,1,0,0,0,6,0,3,0
1,55,1,0,0,0,1,0,12,0
1,31,2,0,0,0,8,0,5,1
1,28,0,0,0,0,6,1,58,1
1,54,2,0,0,0,2,0,74,0
1,58,2,0,0,0,0,0,14,0
1,78,1,0,0,0,1,1,68,1
1,56,1,0,0,0,0,0,3,0
1,24,5,0,0,0,0,0,74,0
1,38,0,2,2,1,22,0,75,1
1,22,0,0,0,0,1,0,21,1
1,47,0,0,0,0,23,1,27,1
1,23,0,0,0,0,0,1,6,1
1,57,2,0,0,0,1,0,13,0
0,38,1,0,0,0,2,0,3,1
1,66,0,0,0,0,3,0,76,0
1,45,1,0,0,0,8,1,29,1
1,32,0,0,0,0,13,0,44,1
1,37,0,0,0,0,2,1,6,1
1,39,1,0,0,0,0,0,16,1
1,26,0,0,0,0,9,0,48,1
1,45,1,0,0,0,2,0,77,0
1,23,0,0,0,0,0,0,4,1
1,34,0,0,0,0,2,1,6,0
0,23,0,0,0,0,1,1,6,0
1,36,5,0,0,0,2,1,6,1
1,50,1,0,0,0,1,0,78,0
0,37,1,0,0,0,0,1,79,0
1,44,1,0,0,0,4,1,6,0
0,35,0,0,1,0,23,0,66,1
1,24,5,0,0,0,5,0,5,1
1,26,0,0,0,0,2,0,80,1
1,27,0,0,0,0,0,1,81,0
0,28,0,0,0,0,0,0,82,0
1,43,1,0,0,0,11,0,5,1
0,28,1,0,0,0,7,0,66,1
1,38,0,0,0,0,2,0,13,0
1,27,1,0,0,0,2,1,83,0
0,28,0,0,0,0,1,0,5,0
1,56,1,0,0,0,7,0,11,1
1,38,0,0,0,0,15,0,3,0
1,28,0,0,0,0,2,1,27,0
1,45,0,0,0,0,3,0,5,0
1,28,2,0,0,0,0,1,84,0
1,61,1,0,0,0,1,0,5,0
0,51,1,0,0,0,0,1,68,1
1,51,1,0,0,0,0,1,6,0
1,36,5,0,0,0,1,1,27,1
1,48,0,0,0,0,0,0,85,0
1,37,1,0,0,0,4,0,5,1
0,30,0,0,0,0,2,0,12,0
0,41,0,0,0,0,5,1,6,0
1,27,0,0,0,0,11,0,86,1
1,37,0,0,0,0,0,1,6,0
1,33,5,0,0,0,4,0,1,1
1,54,0,0,0,0,11,0,87,0
1,23,0,0,0,0,2,0,88,0
0,26,0,0,0,0,2,0,5,1
1,41,0,0,0,0,0,1,6,0
1,52,1,0,0,0,0,0,89,0
1,43,1,0,0,0,13,0,13,1
1,52,0,0,0,0,0,0,31,0
1,28,1,0,0,0,1,0,5,0
1,30,0,0,0,2,11,1,6,1
1,28,1,0,0,0,1,0,81,0
1,22,0,0,0,0,0,0,21,0
1,30,0,0,0,0,4,0,13,0
1,25,2,0,0,0,4,0,4,0
1,31,1,0,0,0,0,0,74,1
1,37,1,0,0,0,0,0,12,1
1,32,0,0,1,0,14,0,41,0
1,26,0,0,1,0,4,1,27,0
1,53,1,0,0,0,1,1,6,0
1,28,0,0,0,0,25,0,5,1
1,44,1,0,0,0,8,1,6,1
1,25,0,0,0,0,0,0,12,0
1,22,1,0,0,1,1,1,90,1
0,37,5,0,0,0,0,1,6,0
0,40,5,0,0,0,3,0,13,0
1,36,1,0,0,0,8,0,11,1
1,30,1,0,0,0,4,0,91,0
1,22,0,0,0,0,3,1,92,1
0,24,1,0,0,0,1,1,6,1
1,27,0,0,0,0,3,1,93,1
0,31,2,0,0,0,0,1,6,0
1,23,2,0,0,1,1,0,5,1
0,23,1,0,0,4,5,0,5,1
1,24,2,0,0,0,0,1,27,0
1,29,0,0,0,0,1,1,6,0
1,20,0,0,0,0,1,0,20,1
1,30,0,0,0,0,2,0,20,1
1,39,5,0,0,0,0,0,94,0
1,27,0,0,0,0,4,0,5,0
1,31,1,0,0,0,2,1,5,0
0,37,0,0,0,0,2,0,5,0
1,20,0,0,0,0,0,0,7,0
1,22,2,0,0,1,0,0,10,0
0,52,0,0,0,0,0,0,95,0
0,23,0,0,0,0,0,0,20,1
0,48,0,0,0,0,0,0,52,0
1,66,0,0,0,0,8,0,48,1
1,25,1,0,0,0,0,0,71,0
1,27,1,0,0,0,0,0,12,1
1,30,0,0,0,0,11,0,96,1
1,22,0,0,1,1,3,1,6,1
0,22,1,0,0,0,1,0,21,0
1,35,0,0,0,0,2,0,5,0
1,32,1,0,0,0,2,0,5,0
0,41,0,0,0,0,2,1,15,0
0,25,5,0,0,0,0,0,52,0
1,44,0,0,0,0,24,1,97,0
1,52,0,0,0,0,3,0,3,1
1,43,0,0,0,0,0,0,46,0
1,37,1,0,0,0,3,0,5,0
1,28,0,0,0,0,3,1,27,1
1,70,1,0,0,0,1,1,6,0
1,54,1,0,0,0,6,0,3,1
1,46,1,0,0,0,3,0,5,0
1,21,0,0,0,0,0,1,59,1
1,26,0,0,0,0,1,1,6,1
1,38,2,0,0,0,3,0,57,1
1,34,1,0,0,0,5,1,6,0
1,19,0,0,0,0,1,0,12,1
1,34,0,0,0,0,5,1,33,0
1,23,1,0,0,0,0,0,52,1
1,34,0,0,0,0,5,0,34,1
1,30,0,0,0,0,2,0,5,0
1,39,0,0,0,0,6,0,41,1
1,24,5,0,0,0,0,0,98,0
1,33,1,0,0,0,1,1,68,1
1,58,1,0,0,0,2,0,99,0
0,21,0,0,0,0,0,1,6,0
1,21,0,0,0,0,1,0,100,0
1,23,0,0,0,1,4,1,27,1
1,62,1,0,0,0,0,0,91,0
1,27,0,1,0,1,4,1,27,1
1,37,1,0,0,0,5,0,15,0
1,43,5,0,0,0,2,0,12,1
0,32,0,0,0,0,5,0,82,0
1,23,2,0,0,0,0,0,95,0
1,27,0,0,0,0,0,1,6,0
1,44,1,0,0,0,0,1,6,1
1,28,1,0,0,0,3,1,6,1
0,42,1,0,0,0,0,0,3,0
1,24,5,0,1,0,9,0,101,1
1,27,0,0,0,0,0,0,82,0
1,20,0,0,0,0,0,0,87,1
0,51,1,0,0,0,0,1,15,0
1,56,1,0,0,0,0,1,102,0
1,29,0,0,0,0,7,0,5,0
1,20,0,0,0,0,0,0,12,1
1,53,1,0,0,0,6,0,5,0
1,27,1,0,0,0,8,0,5,0
1,24,0,0,1,0,2,0,42,1
1,53,1,0,0,0,36,0,103,1
1,28,1,0,0,0,2,1,6,1
1,45,0,0,0,0,1,0,57,0
1,21,2,0,1,0,3,0,12,0
0,36,0,0,0,0,0,0,82,0
0,25,1,0,0,0,2,1,59,1
0,23,2,0,0,0,1,1,25,0
1,28,1,0,0,0,1,0,21,0
0,21,0,0,0,0,0,0,104,1
1,36,1,0,0,0,0,1,29,0
1,24,0,0,0,0,0,0,12,0
1,28,0,0,0,0,3,0,5,1
1,30,5,0,0,0,1,0,5,1
1,29,0,0,0,0,0,0,52,0
0,30,1,0,0,0,0,1,6,0
1,51,2,0,0,0,1,1,63,0
1,33,5,0,0,0,3,0,46,0
0,25,0,0,0,0,2,0,5,0
1,32,0,0,1,0,12,0,5,1
1,23,0,0,0,1,1,0,12,0
1,47,0,0,0,0,3,0,7,0
0,32,2,0,0,0,1,0,3,1
1,37,1,0,0,0,0,0,105,0
1,19,0,0,2,0,2,0,62,1
1,27,2,0,0,0,0,1,6,0
1,39,5,0,0,0,0,1,6,0
0,21,1,0,0,2,0,0,3,0
1,69,1,0,0,0,0,1,72,0
1,21,1,0,0,0,2,0,5,0
1,26,0,0,0,1,6,1,6,1
1,22,1,0,0,0,0,0,3,0
0,23,0,0,0,0,0,0,13,1
1,49,0,0,0,0,3,0,87,0
1,29,0,0,0,1,2,1,6,0
0,60,1,0,0,0,0,1,6,0
1,23,0,2,0,0,3,0,10,1
1,34,2,0,0,0,2,1,5,1
0,20,5,1,0,0,1,0,5,0
1,36,2,0,0,0,1,0,106,0
1,30,1,0,0,0,0,0,3,0
1,21,0,0,1,0,1,0,12,0
1,22,1,0,0,0,2,1,27,1
1,57,0,0,0,0,18,0,5,0
1,21,0,0,0,0,4,0,5,1
1,21,0,0,0,0,0,0,42,1
1,34,1,0,0,0,1,1,6,0
0,50,1,0,0,0,1,1,6,1
1,40,1,0,0,0,0,0,5,1
1,25,0,0,0,0,7,0,107,1
0,53,1,0,0,0,1,1,6,0
0,24,0,0,0,0,0,0,52,0
1,42,0,0,0,0,1,0,5,0
1,28,0,0,0,0,1,1,6,0
1,24,1,0,0,0,1,1,60,0
1,26,0,1,1,0,6,0,86,1
1,22,0,0,0,0,4,0,12,1
1,21,1,0,0,0,3,1,5,0
1,37,0,0,0,0,23,0,15,1
1,35,0,0,0,0,2,0,4,0
1,53,0,0,0,0,2,0,11,0
1,60,0,0,0,0,1,0,5,0
1,29,0,0,0,0,7,0,3,0
1,48,1,1,0,0,23,0,66,1
0,52,1,0,0,0,0,1,6,0
1,27,0,0,0,0,12,0,13,1
1,28,0,0,0,0,5,0,5,0
1,33,1,0,0,0,3,1,6,0
0,28,2,0,0,0,0,0,5,0
1,47,1,0,0,0,5,0,3,1
1,36,0,0,0,0,14,0,108,1
1,29,0,1,0,0,2,0,41,0
1,22,0,0,0,1,0,1,28,1
1,26,0,0,0,2,6,0,44,0
1,25,1,0,0,0,0,0,101,0
1,68,1,0,0,0,2,0,72,0
1,56,0,0,0,0,5,0,13,0
1,27,0,0,0,0,9,0,41,1
1,52,1,0,0,0,4,0,12,1
1,32,0,0,0,0,3,0,15,0
1,60,5,0,0,0,4,0,5,0
1,23,2,0,0,0,1,1,109,0
0,39,1,0,0,0,0,1,60,0
1,56,1,0,0,0,0,1,6,0
0,22,0,0,0,0,0,0,10,0
0,27,0,0,0,0,1,0,110,1
1,53,0,0,0,0,11,0,5,0
1,25,1,0,0,0,0,1,68,1
1,21,2,0,0,0,0,1,6,0
1,22,1,0,0,0,0,0,111,0
0,58,1,0,0,0,2,1,84,0
1,31,0,0,0,0,7,1,41,1
1,22,1,0,0,0,1,0,53,1
1,28,0,0,0,0,8,0,31,1
1,42,5,0,0,0,1,0,5,0
1,20,0,0,0,0,0,0,87,1
1,29,1,0,0,0,0,1,6,1
1,29,0,0,0,0,8,0,5,0
1,58,0,0,0,0,21,1,5,1
1,22,0,0,0,0,3,0,12,0
1,48,2,0,0,0,1,1,25,1
1,37,1,0,0,0,0,0,112,0
1,57,0,0,0,0,1,0,66,1
1,27,1,0,0,0,3,1,113,0
1,26,0,0,0,0,3,0,74,0
1,24,1,0,1,1,3,0,10,1
1,33,1,0,0,0,0,0,41,0
1,29,0,0,0,0,2,0,5,0
0,24,0,0,0,0,3,0,12,1
1,19,1,0,0,1,1,0,46,1
1,36,1,0,0,0,2,1,6,0
0,24,1,0,0,0,0,0,10,0
1,34,1,0,0,0,0,1,32,0
1,25,2,0,0,0,2,0,5,1
1,20,0,1,0,1,1,0,5,1
1,28,2,0,0,0,2,1,5,1
1,24,0,0,0,0,1,1,6,1
1,61,1,0,0,0,4,0,5,0
0,50,0,0,0,0,3,0,52,0
1,30,0,0,0,0,1,1,6,0
1,38,0,0,0,0,5,0,4,0
1,24,1,0,0,0,0,1,6,0
1,45,0,0,0,0,16,0,5,0
0,46,0,0,0,0,2,0,12,1
1,41,1,0,0,0,0,1,6,1
1,20,5,0,0,1,0,0,3,1
1,27,0,0,0,0,13,1,27,1
0,51,0,0,0,0,16,0,3,0
1,26,0,0,0,0,1,1,6,1
1,29,0,0,0,0,3,0,114,1
1,52,1,0,0,0,6,0,12,1
1,28,1,0,0,0,1,0,76,1
0,34,3,0,0,0,4,0,5,1
1,55,0,0,0,0,5,0,66,1
1,26,0,1,1,0,10,0,115,1
1,28,0,0,0,0,5,0,49,0
1,63,1,0,0,0,2,0,116,0
1,42,0,0,0,0,0,0,1,0
1,23,0,1,2,2,6,0,13,0
1,54,0,0,0,0,28,0,3,1
1,35,0,0,0,1,8,0,2,1
0,24,0,1,0,0,6,0,5,1
1,54,0,0,0,0,2,1,6,0
1,58,0,0,0,0,12,1,32,1
1,23,1,0,0,1,1,1,58,1
1,35,0,0,0,0,1,1,6,0
1,20,0,0,0,0,1,0,117,1
1,51,1,0,0,0,0,0,46,0
1,24,2,0,0,0,0,0,9,0
1,37,1,0,0,0,3,0,3,0
1,47,1,0,0,0,3,0,118,0
1,34,1,0,0,0,4,0,4,1
1,56,1,0,0,0,0,0,12,0
1,34,2,0,0,0,4,0,119,1
1,59,1,0,0,0,1,0,45,1
1,35,4,0,0,0,0,0,42,0
1,58,2,0,0,0,1,0,7,0
1,29,2,0,0,0,2,1,68,0
0,24,1,0,0,1,6,0,55,1
1,21,1,0,0,4,2,1,63,1
1,26,0,0,0,0,2,1,5,0
1,50,4,0,0,0,5,0,13,1
1,26,0,0,0,0,1,0,120,0
0,30,1,0,0,0,0,1,68,0
1,29,1,0,0,0,6,0,5,1
1,29,1,0,0,0,0,1,6,1
1,54,0,0,0,0,0,1,6,0
1,29,0,0,0,0,4,0,53,1
0,59,1,0,0,0,0,1,84,0
1,38,0,0,0,0,0,0,22,0
0,22,2,0,0,0,2,0,3,1
1,29,0,0,0,0,4,0,5,1
1,27,1,0,0,0,1,1,97,1
1,26,2,0,0,0,7,0,52,1
1,52,2,0,0,0,20,0,121,0
1,66,0,0,0,0,33,0,112,1
1,27,1,0,0,0,2,0,3,0
1,51,1,0,0,0,1,1,84,0
1,35,1,0,0,0,1,0,5,0
1,26,0,0,0,0,1,0,22,0
1,52,1,0,0,0,4,1,6,0
0,35,0,0,0,0,12,1,19,0
1,48,5,0,0,0,12,0,1,0
0,26,0,0,0,0,0,1,6,0
0,48,1,0,0,0,0,1,122,0
1,30,2,0,0,0,7,1,6,0
1,28,5,0,0,0,2,1,6,0
1,33,0,0,0,0,2,1,6,0
0,34,0,0,0,0,6,0,95,0
1,25,5,0,0,0,0,1,27,0
1,59,0,0,0,0,10,0,5,1
1,29,0,0,0,0,5,0,55,1
1,24,1,0,0,0,0,0,3,0
1,48,1,0,0,0,1,0,76,1
1,55,0,0,0,0,0,1,6,1
1,52,0,0,0,0,4,1,123,0
1,20,0,0,0,0,0,0,114,1
1,25,1,0,0,0,4,0,3,1
1,24,1,0,0,0,0,0,76,0
1,23,1,0,0,0,0,1,6,0
1,27,1,0,1,3,6,0,46,0
1,25,0,0,1,0,1,1,6,1
1,31,0,0,0,0,0,0,124,0
1,25,0,0,1,0,6,0,5,1
1,32,1,0,0,0,1,0,5,1
1,21,1,0,0,0,0,0,12,1
1,37,5,0,0,0,1,0,57,0
1,25,1,0,0,0,0,0,4,0
1,32,2,1,1,0,20,0,5,0
1,35,0,0,0,0,0,0,12,0
1,42,0,0,0,0,14,0,118,1
1,24,1,0,0,1,9,1,29,1
1,22,1,1,0,4,6,0,3,1
1,21,2,0,0,0,0,0,12,1
1,47,1,0,0,0,1,1,6,0
1,27,0,0,0,0,5,0,82,1
1,43,2,0,0,0,2,1,32,1
1,46,1,0,0,0,2,0,49,1
1,44,0,0,0,0,1,1,125,0
1,27,0,0,0,0,0,0,126,0
1,23,1,0,0,0,2,0,4,0
0,50,2,0,0,0,1,0,127,0
1,42,0,0,0,0,8,0,5,0
1,58,0,0,0,0,6,0,66,0
1,26,0,0,0,1,3,0,87,0
0,48,5,0,0,0,0,0,12,0
1,39,0,0,0,0,3,0,12,1
1,21,0,0,2,0,3,0,5,1
1,63,1,0,0,0,1,1,84,0
1,22,0,0,1,0,3,0,5,1
1,50,0,0,0,0,3,1,6,0
1,38,0,0,0,0,0,0,45,0
1,41,1,0,0,0,1,0,128,0
1,28,0,8,0,1,16,0,41,1
0,30,0,0,0,0,0,1,6,0
1,23,0,0,0,0,1,0,24,0
1,25,1,0,0,0,2,0,5,1
1,40,1,0,0,0,5,0,129,0
1,24,2,0,0,0,8,0,4,0
1,27,0,0,0,0,5,1,130,1
1,44,1,0,0,0,11,1,6,0
0,35,0,0,0,0,6,0,5,1
1,42,1,0,0,0,0,1,6,0
1,38,0,0,0,0,15,0,118,0
1,26,2,0,0,0,4,0,4,0
0,25,0,0,0,0,0,1,58,0
1,24,1,0,0,0,1,0,5,0
1,64,2,0,0,0,1,0,131,0
0,49,1,0,0,0,2,1,68,1
1,50,1,0,0,0,5,0,13,1
1,28,1,0,0,0,8,0,5,1
1,66,1,0,0,0,0,1,6,1
0,46,1,0,0,0,0,1,6,0
1,30,0,0,0,1,5,0,13,1
0,22,1,0,0,0,0,1,6,0
1,23,1,0,0,0,1,1,5,0
1,30,5,0,0,0,0,1,6,1
1,24,0,1,0,0,10,0,5,1
1,31,2,0,0,0,0,1,84,0
1,31,5,0,0,0,1,0,5,0
1,21,0,4,0,0,4,0,5,1
1,28,0,0,0,0,4,0,5,0
1,25,0,0,0,0,0,1,132,0
0,21,1,0,0,0,0,0,74,0
1,27,0,0,0,0,0,1,6,0
1,20,2,0,0,0,0,1,27,1
1,32,2,0,0,0,1,0,3,0
0,24,1,0,0,1,0,0,74,0
1,20,0,1,0,0,1,0,5,0
1,31,0,0,0,0,3,1,133,1
1,27,0,0,0,0,3,1,6,1
1,59,0,0,0,0,17,0,12,1
1,40,0,0,0,0,0,0,1,0
1,22,0,0,0,0,11,0,3,1
0,38,0,0,0,0,1,0,86,0
1,36,2,0,0,0,1,1,134,1
1,30,0,0,0,0,1,1,27,0
1,27,1,0,0,0,6,0,5,1
1,43,0,0,0,0,1,1,6,0
0,59,1,0,0,0,0,1,68,0
1,37,1,0,0,0,2,1,32,0
1,28,0,0,0,0,5,1,46,1
1,38,1,0,0,0,0,0,3,0
1,22,0,0,0,1,0,0,135,1
1,43,2,0,0,0,1,1,25,0
1,25,0,0,0,0,4,0,136,1
1,51,1,0,0,0,0,1,32,0
1,30,2,0,0,0,6,0,3,1
1,29,1,0,0,0,2,1,46,1
1,28,0,0,0,0,10,0,13,0
1,26,0,0,0,0,6,1,27,0
1,55,0,0,0,0,9,1,5,1
0,23,1,0,0,0,3,0,55,0
0,22,0,0,0,0,0,1,137,0
0,19,1,0,0,0,2,0,3,1
1,31,0,0,0,0,1,1,6,0
1,29,0,0,0,0,0,1,32,0
1,61,0,0,0,0,15,0,66,1
1,24,0,0,0,0,4,0,3,1
1,31,2,0,0,0,0,1,25,0
1,20,0,0,1,1,4,0,5,1
1,26,1,0,0,0,3,0,138,1
1,27,1,0,0,0,5,1,6,0
1,25,1,0,0,0,1,0,1,0
1,23,1,0,2,0,3,0,139,1
1,38,0,0,0,0,0,0,46,0
1,27,0,0,2,1,18,0,66,1
0,35,1,0,0,0,0,0,101,1
1,22,5,0,0,0,0,0,87,0
0,58,0,0,0,0,4,0,9,1
0,57,1,0,0,0,0,1,132,1
1,21,0,0,0,1,0,0,110,0
0,22,0,0,0,0,0,0,12,0
1,30,0,0,0,0,0,0,74,0
1,24,1,0,0,0,1,0,5,1
1,22,1,0,0,0,2,0,15,1
1,29,1,0,0,0,3,0,56,1
1,30,0,0,0,0,8,0,3,1
0,31,0,0,0,0,10,0,13,0
0,45,1,0,0,0,1,0,11,0
1,23,0,0,0,0,4,0,5,0
1,39,1,0,0,0,2,0,53,1
1,31,0,0,0,0,0,0,3,1
1,22,0,0,0,0,1,0,42,1
0,27,0,0,0,0,9,0,140,1
1,27,0,0,0,0,13,0,5,1
1,38,1,0,0,0,1,0,112,1
1,31,0,0,0,0,23,0,62,1
1,47,0,0,0,0,20,0,107,0
1,22,0,0,1,0,3,0,5,0
1,35,0,0,0,1,1,1,6,1
1,23,2,0,0,0,2,1,27,1
1,65,0,0,0,0,2,1,141,1
1,35,0,0,0,0,0,1,64,0
0,33,0,0,0,0,0,0,87,0
1,53,1,0,0,0,1,1,6,0
1,52,2,0,0,0,0,0,13,0
1,21,0,0,0,0,0,0,142,0
1,37,0,0,0,0,11,0,41,0
1,30,5,0,0,0,4,1,125,1
1,33,1,0,0,0,5,0,5,0
1,31,0,0,0,0,2,1,63,0
1,54,5,0,0,0,0,0,87,0
0,31,0,0,0,0,0,1,6,0
0,59,1,0,0,0,2,0,12,0
1,27,0,0,0,0,0,1,3,0
1,36,0,0,0,0,0,1,6,1
1,46,0,0,0,0,17,0,5,1
1,22,0,0,0,1,3,0,5,0
0,28,1,0,0,0,0,1,84,0
0,34,1,0,0,1,15,0,12,1
1,29,2,0,0,0,7,0,13,1
1,23,0,0,0,1,2,1,6,1
1,27,0,0,0,0,3,0,12,0
1,21,4,0,0,1,0,0,23,1
1,48,1,0,0,0,3,0,12,1
1,30,0,0,0,0,15,0,44,1
0,32,0,0,0,0,2,0,10,0
1,31,0,0,0,0,5,0,5,0
1,36,0,0,1,0,4,1,6,0
1,36,0,0,0,0,1,1,6,0
1,44,0,0,0,0,14,0,11,1
1,53,1,0,0,0,2,0,143,0
1,33,0,0,0,0,3,1,33,1
1,21,0,1,0,0,2,0,5,0
1,33,0,0,0,0,4,0,5,1
1,47,1,0,0,0,2,0,3,1
1,57,0,0,0,0,20,0,3,1
1,28,0,0,0,0,2,1,5,0
